artist_name,track_name,mbi_id,release_country,release_date,label
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),a0b8cb9e-7532-45fe-a74c-30e7c4009a39,Unknown,Unknown,Unknown
Britney Spears,Toxic,45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,GB,2005-12-26,Unknown
Beyoncé,Crazy In Love,859d0860-d480-4efd-970c-c05d5f1776b8,XE,2004-04-26,Unknown
Justin Timberlake,Rock Your Body,596ffa74-3d08-44ef-b113-765d43d12738,FR,2003,Unknown
Shaggy,It Wasn't Me,fc63d806-ca89-4ea3-a404-ee6de695743f,Unknown,Unknown,Unknown
Usher,Yeah!,3414d446-735a-443c-931f-10634f57e5b9,Unknown,Unknown,Unknown
Usher,My Boo,3414d446-735a-443c-931f-10634f57e5b9,US,2005-03-08,Unknown
The Pussycat Dolls,Buttons,1fda852b-92e9-4562-82fa-c52820a77b23,GB,2006-10-23,Unknown
Destiny's Child,Say My Name,a796b92e-c137-4895-9c89-10f900617a4f,GB,2004-09-06,Unknown
OutKast,Hey Ya! - Radio Mix / Club Mix,Unknown,Unknown,Unknown,Unknown
