artist_name,track_name,artist_uri,track_uri
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),spotify:artist:2wIVse2owClT7go1WT98tk,spotify:track:0UaMYEvWZi0ZqiDOoHU3YI
Britney Spears,Toxic,spotify:artist:26dSoYclwsYLMAKD3tpOr4,spotify:track:6I9VzXrHxO9rA9A5euc8Ak
Beyoncé,Crazy In Love,spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:0WqIKmW4BTrj3eJFmnCKMv
Justin Timberlake,Rock Your Body,spotify:artist:31TPClRtHm23RisEBtV3X7,spotify:track:1AWQoqb9bSvzTjaLralEkT
Shaggy,It Wasn't Me,spotify:artist:5EvFsr3kj42KNv97ZEnqij,spotify:track:1lzr43nnXAijIGYnCT8M8H
Usher,Yeah!,spotify:artist:23zg3TcAtWQy7J6upgbUnj,spotify:track:0XUfyU2QviPAs6bxSpXYG4
Usher,My Boo,spotify:artist:23zg3TcAtWQy7J6upgbUnj,spotify:track:68vgtRHr7iZHpzGpon6Jlo
The Pussycat Dolls,Buttons,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,spotify:track:3BxWKCI06eQ5Od8TY2JBeA
Destiny's Child,Say My Name,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:track:7H6ev70Weq6DdpZyyTmUXk
OutKast,Hey Ya! - Radio Mix / Club Mix,spotify:artist:1G9G7WwrXka3Z1r7aIDjI7,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM
Nelly Furtado,Promiscuous,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,spotify:track:2gam98EZKrF9XuOkU13ApN
Jesse McCartney,Right Where You Want Me - Radio Edit Version,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,spotify:track:4Y45aqo9QMa57rDsAJv40A
Jesse McCartney,Beautiful Soul,spotify:artist:2Hjj68yyUPiC0HKEOigcEp,spotify:track:1HwpWwa6bnqqRhK8agG4RS
Jesse McCartney,Leavin',spotify:artist:2Hjj68yyUPiC0HKEOigcEp,spotify:track:20ORwCJusz4KS2PbTPVNKo
Cassie,Me & U,spotify:artist:27FGXRNruFoOdf1vP8dqcH,spotify:track:7k6IzwMGpxnRghE7YosnXT
Omarion,Ice Box,spotify:artist:0f5nVCcR06GX8Qikz0COtT,spotify:track:1Bv0Yl01xBDZD4OQP93fyl
Avril Lavigne,Sk8er Boi,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,spotify:track:4omisSlTk6Dsq2iQD7MA07
Chris Brown,Run It!,spotify:artist:7bXgB6jMjp9ATFy66eO08Z,spotify:track:7xYnUQigPoIDAMPVK79NEq
Beyoncé,Check On It - feat. Bun B and Slim Thug,spotify:artist:6vWDO969PvNqNYHIOW5v0m,spotify:track:6d8A5sAx9TfdeseDvfWNHd
Destiny's Child,"Jumpin', Jumpin'",spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:track:4pmc2AxSEq6g7hPVlJCPyP
Sheryl Crow,Soak Up The Sun,spotify:artist:4TKTii6gnOnUXQHyuo9JaD,spotify:track:215JYyyUnrJ98NK3KEwu6d
The Black Eyed Peas,Where Is The Love?,spotify:artist:1yxSLGMDHlW21z4YXirZDS,spotify:track:0uqPG793dkDDN7sCUJJIVC
Bowling For Soup,Stacy's Mom,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,spotify:track:19Js5ypV6JKn4DMExHQbGc
The Click Five,Just The Girl,spotify:artist:01lz5VBfkMFDteSA9pKJuP,spotify:track:1JURww012QnWAw0zZXi6Aa
Chris Brown,Yo (Excuse Me Miss),spotify:artist:7bXgB6jMjp9ATFy66eO08Z,spotify:track:7DFnq8FYhHMCylykf6ZCxA
Jonas Brothers,Year 3000,spotify:artist:7gOdHgIoIKoe4i9Tta6qdD,spotify:track:1TfAhjzRBWzYZ8IdUV3igl
Lil Mama,Lip Gloss,spotify:artist:5qK5bOC6wLtuLhG5KvU17c,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS
Cascada,Everytime We Touch - Radio Edit,spotify:artist:0N0d3kjwdY2h7UVuTdJGfp,spotify:track:6MjljecHzHelUDismyKkba
Jason Derulo,Whatcha Say,spotify:artist:07YZf4WDAMNwqr4jfgOZ8y,spotify:track:67T6l4q3zVjC5nZZPXByU8
Ne-Yo,Miss Independent,spotify:artist:21E3waRsmPlU7jZsS13rcj,spotify:track:34ceTg8ChN5HjrqiIYCn9Q
